category,keyword,pc_monthly_search,mobile_monthly_search,total_monthly_search,competition
기타,ADIXEN,20,20,40,높음
기타,AIRCOM,< 10,10,15,높음
기타,AIRSET,10,< 10,15,높음
기타,ALCATEL,20,10,30,높음
기타,ALLFLO,< 10,< 10,10,높음
기타,APCVALVE,10,< 10,15,높음
수리/정비,ASM142,< 10,< 10,10,낮음
수리/정비,ASM310,< 10,10,15,중간
수리/정비,ASM340,20,10,30,낮음
수리/정비,ASM380,< 10,< 10,10,중간
수리/정비,ASM390,< 10,< 10,10,중간
수리/정비,ASML,11,000,40,800,51800,중간
기타,BECKER,90,160,250,높음
기타,BESTECH,20,10,30,중간
진공펌프 일반,BOOSTERPUMP,10,10,20,높음
기타,BUSCH,70,120,190,높음
진공펌프 일반,BUSCHPUMP,< 10,< 10,10,높음
진공펌프 일반,BUSCH진공펌프,< 10,10,15,높음
기타,CAPACITANCEMANOMETER,< 10,< 10,10,낮음
수리/정비,CFGASKET,< 10,< 10,10,낮음
진공펌프 일반,CLEANVACUUM,< 10,< 10,10,높음
기타,CONVECTIONGAUGE,< 10,< 10,10,높음
기타,CRF,430,740,1170,중간
기타,CRYOCOOLER,10,< 10,15,높음
기타,CRYOGENICVALVE,20,< 10,25,낮음
진공펌프 일반,CRYOPUMP,40,20,60,높음
기타,CVE,210,180,390,높음
진공펌프 일반,DCPUMP,< 10,< 10,10,높음
기타,DEBEM,< 10,< 10,10,낮음
기타,DETER,690,2,690,3380,중간
진공펌프 일반,DIFFUSIONPUMP,10,< 10,15,높음
기타,DISPENSOR,90,70,160,낮음
기타,DOOVAC,< 10,< 10,10,중간
기타,DOP,190,490,680,중간
진공펌프 일반,DRYPUMP,20,10,30,높음
진공펌프 일반,DRYSCREWVACUUMPUMP,< 10,< 10,10,낮음
진공펌프 일반,DRYVACUUMPUMP,< 10,< 10,10,높음
기타,DVP,80,190,270,중간
기타,E2M18,< 10,< 10,10,중간
기타,E2M275,< 10,< 10,10,낮음
기타,E2M28,< 10,< 10,10,높음
기타,E2M40,< 10,< 10,10,높음
기타,E2M80,< 10,< 10,10,높음
기타,EBARA,100,150,250,높음
진공펌프 일반,EBARAPUMP,10,10,20,높음
진공펌프 일반,EBARA펌프,10,< 10,15,높음
브랜드명,EDWARD,120,260,380,낮음
브랜드명,EDWARDKOREA,< 10,< 10,10,높음
브랜드명,EDWARDS,70,110,180,높음
브랜드명,EDWARDSPUMP,< 10,< 10,10,높음
브랜드명,EDWARDS진공펌프,< 10,< 10,10,높음
기타,ESA,220,480,700,높음
기타,EVMS,130,100,230,높음
주변기기/부품,FCU복합밸브,20,10,30,중간
진공펌프 일반,FLUXPUMP,< 10,< 10,10,높음
진공펌프 일반,FRP펌프,20,10,30,높음
